Background Message,zotero,doi,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/WAPZAUUE,10.1162/0034653053970339,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/VE36ZFRJ,10.1177/0013916503035003001,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/MGPWB64G,10.1177/070674371105600203,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/7RV5NGKW,10.12952/journal.elementa.000083,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/IQGK88TJ,10.1371/journal.pbio.1002074,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/7TEC49U2,10.1371/journal.pgen.1007039,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/XVE26C4X,10.1371/journal.pone.0066993,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/HTGXJAY3,10.1371/journal.pone.0169748,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/W8F36EZR,10.1371/journal.pone.0195440,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/GNX885AX,10.1525/bio.2010.60.8.4,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/GNX885AX,10.1525/bio.2010.60.8.4,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/RC5VDAFE,10.15252/embr.201743988,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/WWLBS2XF,10.1641/0006-3568(2003)053[0235:hhatdo]2.0.co,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/ERAWR9FG,10.17730/humo.71.2.j0w0101277ww6084,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/PWH5I4GQ,10.1787/9789264257474-en,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/NKFAEHHU,10.18061/dsq.v33i1.3430,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/A2KF6J6H,10.2134/jeq2006.0462,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/C8SMPPU2,10.2139/ssrn.1436229,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/5G8N9FSH,10.2307/30034142,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/TSRG84FD,10.2489/jswc.70.3.55a,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/5ISQ7KCU,10.3167/ares.2017.080104,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/V2ZATNT4,10.3389/fphar.2018.00777,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/R8NLJIZL,10.3389/fpsyg.2019.00305,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/7E7AJY5W,10.3390/ijerph120404354,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/EAK8G9UA,10.3390/su7055875,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/FTVCFBKX,10.3406/arch.2005.3926,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/D6LTWQ5G,10.5194/bg-14-301-2017,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/E7TGFMSL,10.5194/hess-17-4177-2013,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/DKN68A57,10.5194/soil-1-351-2015,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/QLSJRSAG,10.5281/zenodo.3554959,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/QLSJRSAG,10.5281/zenodo.3554959,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/SQLYJ2BS,10.5751/es-08054-200429,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/ELPVG8TR,10.7721/chilyoutenvi.22.2.0144,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/7GN79E3N,https://doi.org/10.1016/bs.aecr.2017.12.003,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/7GN79E3N,https://doi.org/10.1016/bs.aecr.2017.12.003,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/CCNUVQQT,https://doi.org/10.1016/j.ufug.2006.01.007,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/X9Y9NZUG,https://doi.org/10.1016/S0734-9750(02)00011-3,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/N3PKG225,https://doi.org/10.1017/CBO9780511807763,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/N3PKG225,https://doi.org/10.1017/CBO9780511807763,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/YRKFZN4E,https://doi.org/10.1023/B:BIOC.0000021333.23413.42,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/P3WDAFJE,https://doi.org/10.1215/9780822375012,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/VM6X8GQF,https://doi.org/10.1289/ehp.02110537,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/EX4FFNCF,https://doi.org/10.1590/S1676-06032014000100001,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/EX4FFNCF,https://doi.org/10.1590/S1676-06032014000100001,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/G4Q9WL5K,https://doi.org/10.21832/9781845411138,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/3G2DCJN7,https://doi.org/10.4324/9780203123843,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/3G2DCJN7,https://doi.org/10.4324/9780203123843,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/3G2DCJN7,https://doi.org/10.4324/9780203123843,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/3G2DCJN7,https://doi.org/10.4324/9780203123843,
http://ontology.ipbes.net/report/bgm/global19-A1,https://www.zotero.org/groups/2333077/items/RAF7C49Q,https://doi.org/10.4324/9781849775496,
